"order_id","paid_at","status","channel","delivery_type","delivery_by","tracking_code","ship_city","product_name","product_size","color","material","bonus_granted","quantity","price","subtotal"
1,"2025-09-30","Shipped - Delivered","Online Store","Express","PediuChegou","RZFR357","Porto Velho","Tênis Fluent Morning","43","Ciano","Couro Sintético",False,2,"168.26","336.52"
2,"2025-07-24","Shipped - Delivered","Online Store","Standard","Correios","YMEXN7O","Tubarão","Sapatilha Anoitecer","40","Azul","Camurça",False,1,"410.69","410.69"
3,"2025-08-04","Shipped - Delivered","Affiliate Programs","Express","LoggiX","DZVGV39","Manaus","Tênis Fluent Morning","42","Ciano","Camurça",False,1,"286.38","286.38"
4,"2025-03-27","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","B1KGAUC","Florianópolis","Loafer Anoitecer","38","Azul","Couro Sintético",False,1,"282.06","282.06"
5,"2025-02-08","Shipped - Delivered","Online Store","Express","Sul Envios","NBK3P1O","Florianópolis","Tênis Fluent Dawn","40","Branco","Couro Sintético",False,1,"475.80","475.80"
6,"2025-05-08","Shipped - Delivered","Online Store","Standard","Sul Envios","MLM5XU","Porto Alegre","Tênis Fluent Dawn","40","Vermelho","Camurça",False,1,"266.05","266.05"
7,"2025-09-29","Shipped - Delivered","Affiliate Programs","Standard","Correios","0ZIWVM5","São Paulo","Sapatilha Alexia","38","Azul","Camurça",False,1,"377.43","377.43"
8,"2024-12-22","Shipped - Delivered","Affiliate Programs","Standard","Correios","HVN1QNK","Tubarão","Sapatilha Alexia","38","Azul","Camurça",False,2,"452.24","904.48"
9,"2024-12-01","Cancelled","Affiliate Programs","Express","Correios","N7BU78R","Tubarão","Tênis Fluent Morning","39","Vermelho","Camurça",True,1,"282.22","282.22"
10,"2025-02-01","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","6UJV895","Tubarão","Tênis Fluent Morning","38","Vermelho","Couro liso",False,2,"170.89","341.78"
11,"2024-11-27","Shipped - Delivered","Affiliate Programs","Express","Correios","ZH8RUG9","Porto Alegre","Sapatilha Anoitecer","38","Vermelho","Couro Sintético",False,1,"175.83","175.83"
12,"2025-04-02","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","0DKGTVV","Porto Alegre","Loafer Clarice","40","Vermelho","Couro Sintético",False,2,"309.09","618.18"
13,"2025-07-03","Shipped - Delivered","Online Store","Express","Correios","SIRNULW","Florianópolis","Sapatilha Anoitecer","39","Branco","Couro Sintético",False,2,"164.80","329.60"
14,"2025-09-25","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","IL4TOSI","Belém","Bota Beea Inverno","43","Ciano","Couro Sintético",False,1,"483.46","483.46"
15,"2025-03-09","Shipped","Online Store","Express","Sul Envios","F4HM59E","Florianópolis","Loafer Clarice","39","Vermelho","Camurça",True,2,"228.85","457.70"
16,"2025-04-08","Shipped - Delivered","Online Store","Express","Sul Envios","B65M393","Tubarão","Tênis Fluent Morning","38","Vermelho","Camurça",False,1,"281.56","281.56"
17,"2025-08-01","Shipped - Delivered","Affiliate Programs","Standard","Correios","4C2CC83","Florianópolis","Tênis Fluent Dawn","40","Branco","Couro liso",False,1,"258.04","258.04"
18,"2025-09-16","Shipped","Affiliate Programs","Express","LoggiX","VHZCVQX","Palmas","Bota Beea Inverno","43","Amarelo","Couro liso",True,2,"442.82","885.64"
19,"2025-05-04","Shipped","Affiliate Programs","Express","Correios","PN2ZHUO","Porto Alegre","Sapatilha Anoitecer","38","Vermelho","Couro Sintético",True,1,"438.59","438.59"
20,"2024-11-01","Shipped - Delivered","B2B","Standard","Sul Envios","6K72H8V","Tubarão","Bota Chocolate","40","Branco","Camurça",False,7,"242.64","1698.48"
21,"2025-06-16","Shipped - Delivered","Online Store","Standard","LoggiX","IQFPCJR","Macapá","Bota Beea Inverno","42","Cinza","Couro Sintético",False,1,"152.00","152.00"
22,"2025-09-28","Shipped - Delivered","Affiliate Programs","Express","LoggiX","GWP1PF3","Manaus","Tênis Fluent Dawn","42","Cinza","Couro liso",False,1,"182.91","182.91"
23,"2025-01-12","Shipped","Online Store","Standard","Correios","CU31N0L","Florianópolis","Loafer Clarice","40","Azul","Couro liso",True,2,"176.42","352.84"
24,"2025-09-06","Shipped - Delivered","Online Store","Express","PediuChegou","XRP9H4Y","Porto Velho","Loafer Anoitecer","41","Amarelo","Couro liso",False,2,"336.02","672.04"
25,"2025-04-11","Shipped - Delivered","Online Store","Express","LoggiX","MZ7YD6X","Belém","Tênis Souza C.","43","Amarelo","Couro Sintético",False,2,"226.24","452.48"
26,"2025-06-04","Cancelled","Online Store","Express","Sul Envios","3BUS3IS","São Paulo","Sapatilha Anoitecer","39","Branco","Couro liso",True,1,"428.23","428.23"
27,"2024-12-27","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","HIFKRWY","Rio de Janeiro","Loafer Anoitecer","39","Azul","Camurça",False,2,"345.18","690.36"
28,"2025-08-31","Shipped","Affiliate Programs","Standard","Sul Envios","FO5Z5D1","Florianópolis","Tênis Souza C.","39","Branco","Couro liso",True,2,"207.26","414.52"
29,"2025-01-08","Shipped - Delivered","B2B","Express","Sul Envios","RJ2B793","Porto Alegre","Bota Chocolate","39","Branco","Couro liso",False,4,"298.01","1192.04"
30,"2025-09-28","Shipped - Delivered","Online Store","Standard","Sul Envios","RPB3V70","São Paulo","Bota Chocolate","40","Branco","Couro Sintético",False,1,"175.77","175.77"
31,"2025-10-07","Shipped - Delivered","B2B","Standard","Sul Envios","B2F2T6Z","Porto Alegre","Tênis Fluent Dawn","40","Vermelho","Couro Sintético",False,2,"368.01","736.02"
32,"2025-08-14","Shipped","Online Store","Standard","LoggiX","USZQN5M","Manaus","Rasteira Jazz","41","Cinza","Camurça",True,2,"171.74","343.48"
33,"2025-07-29","Shipped - Delivered","Online Store","Standard","Sul Envios","MXWJR95","Porto Alegre","Tênis Fluent Dawn","39","Branco","Couro liso",False,2,"489.15","978.30"
34,"2025-04-02","Shipped - Delivered","Online Store","Express","Sul Envios","ETEFON","Tubarão","Tênis Souza C.","40","Vermelho","Couro Sintético",False,1,"418.10","418.10"
35,"2025-03-31","Shipped - Delivered","Online Store","Express","PediuChegou","6344DO","Boa Vista","Tênis Fluent Dawn","43","Cinza","Couro liso",False,2,"493.72","987.44"
36,"2024-12-06","Shipped - Delivered","B2B","Standard","Sul Envios","70UYCLF","Rio de Janeiro","Bota Beea Inverno","40","Branco","Couro Sintético",False,6,"216.90","1301.40"
37,"2025-04-19","Shipped - Delivered","Online Store","Express","Sul Envios","84KYU5D","Rio de Janeiro","Tênis Fluent Morning","40","Branco","Camurça",False,1,"180.82","180.82"
38,"2025-07-13","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","PV4GD4Y","Porto Alegre","Loafer Anoitecer","38","Azul","Couro liso",False,1,"457.49","457.49"
39,"2025-06-02","Cancelled","Affiliate Programs","Express","Correios","24SG1U0","Tubarão","Rasteira Jazz","40","Branco","Couro Sintético",True,2,"256.52","513.04"
40,"2025-01-02","Shipped","Online Store","Standard","LoggiX","BIJ2CAT","Belém","Bota Monty Black","43","Ciano","Camurça",True,1,"281.95","281.95"
41,"2024-12-22","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","WIDPHXI","Boa Vista","Loafer Clarice","42","Ciano","Couro Sintético",False,2,"302.42","604.84"
42,"2025-01-01","Shipped","B2B","Standard","PediuChegou","LHW9KZX","Macapá","Rasteira Lua Cheia","41","Ciano","Camurça",True,1,"338.65","338.65"
43,"2025-03-22","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","087GVNG","Palmas","Bota Monty Black","43","Cinza","Couro liso",False,1,"464.98","464.98"
44,"2024-11-22","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","L8Y95X9","São Paulo","Loafer Clarice","39","Azul","Couro Sintético",False,1,"191.39","191.39"
45,"2025-03-12","Shipped - Delivered","Online Store","Standard","LoggiX","KQ4INWY","Manaus","Loafer Anoitecer","41","Cinza","Couro Sintético",False,2,"154.66","309.32"
46,"2024-11-18","Shipped - Delivered","Online Store","Express","Sul Envios","OQN3KCI","Tubarão","Bota Beea Inverno","40","Branco","Couro liso",False,2,"343.01","686.02"
47,"2025-01-11","Cancelled","Affiliate Programs","Standard","Correios","DP918X4","Porto Alegre","Bota Monty Black","39","Branco","Camurça",True,2,"415.92","831.84"
48,"2024-12-21","Cancelled","Online Store","Express","Sul Envios","EFB7C8","Porto Alegre","Tênis Fluent Dawn","40","Branco","Couro liso",True,1,"197.51","197.51"
49,"2025-05-07","Shipped - Delivered","Online Store","Express","LoggiX","TQQPZSR","Macapá","Sapatilha Alexia","43","Amarelo","Couro liso",False,1,"258.90","258.90"
50,"2025-05-25","Shipped","B2B","Standard","LoggiX","HI768R0","Belém","Bota Beea Inverno","41","Ciano","Camurça",True,5,"419.63","2098.15"
51,"2025-08-28","Shipped - Delivered","Online Store","Express","Correios","ZMNHTB","Porto Alegre","Tênis Fluent Morning","39","Vermelho","Couro liso",False,2,"156.84","313.68"
52,"2025-03-04","Shipped - Delivered","B2B","Express","Correios","QUPPZIS","Florianópolis","Loafer Clarice","39","Vermelho","Couro Sintético",False,12,"232.72","2792.64"
53,"2025-05-29","Shipped","Online Store","Standard","Sul Envios","N9REZ9R","São Paulo","Loafer Anoitecer","38","Vermelho","Camurça",True,2,"340.96","681.92"
54,"2025-05-30","Shipped - Delivered","Online Store","Express","Correios","DGH1OQ4","Florianópolis","Sapatilha Alexia","39","Azul","Couro liso",False,2,"236.69","473.38"
55,"2025-02-07","Shipped - Delivered","Affiliate Programs","Express","PediuChegou","1D5ISHQ","Porto Velho","Tênis Souza C.","41","Cinza","Camurça",False,2,"470.92","941.84"
56,"2024-12-18","Shipped - Delivered","Online Store","Standard","Correios","M2PLBB6","Tubarão","Sapatilha Anoitecer","40","Azul","Couro liso",False,1,"164.02","164.02"
57,"2024-11-04","Shipped - Delivered","Affiliate Programs","Standard","Correios","CV13MU9","São Paulo","Sapatilha Anoitecer","40","Azul","Camurça",False,1,"269.89","269.89"
58,"2024-11-21","Shipped - Delivered","B2B","Standard","Correios","VK4TVZP","Tubarão","Loafer Clarice","38","Vermelho","Couro Sintético",False,8,"326.17","2609.36"
59,"2025-07-11","Shipped - Delivered","Online Store","Standard","Correios","OC8ROSG","São Paulo","Sapatilha Anoitecer","38","Azul","Couro Sintético",False,1,"488.16","488.16"
60,"2024-12-28","Shipped","Online Store","Standard","PediuChegou","IEC7EQU","Belém","Tênis Souza C.","43","Cinza","Couro Sintético",True,2,"324.31","648.62"
61,"2025-02-07","Shipped - Delivered","Online Store","Standard","Correios","V9HPH4L","Porto Alegre","Loafer Clarice","40","Vermelho","Couro Sintético",False,2,"222.72","445.44"
